run_id,architecture,swept_hyperparam,swept_value,seed,alpha,test_mse,test_r2,epochs_run,wall_clock_s
fc_alpha0.010_seed42_20260507T175203,fc,hidden_size,64,42,0.01,0.004131819121539593,0.991736621538854,80,4.390303874999518
fc_alpha0.010_seed42_20260507T175207,fc,hidden_size,128,42,0.01,0.0016496722819283605,0.996700759110651,74,4.627689582994208
fc_alpha0.010_seed42_20260507T175211,fc,hidden_size,256,42,0.01,0.0015572018455713987,0.9968856942056485,45,4.056452958000591
fc_alpha0.010_seed42_20260507T175215,fc,num_layers,1,42,0.01,0.022105498239398003,0.9557903947014557,80,3.513339040990104
fc_alpha0.010_seed42_20260507T175219,fc,num_layers,2,42,0.01,0.0016496722819283605,0.996700759110651,74,4.617983999996795
fc_alpha0.010_seed42_20260507T175224,fc,num_layers,3,42,0.01,0.0007755595142953098,0.9984489297324464,60,4.797875499993097
fc_alpha0.010_seed42_20260507T175226,fc,dropout,0.0,42,0.01,0.0001606744044693187,0.9996786612944001,32,1.691706792000332
fc_alpha0.010_seed42_20260507T175231,fc,dropout,0.2,42,0.01,0.0016496722819283605,0.996700759110651,74,4.668209041003138
fc_alpha0.010_seed42_20260507T175234,fc,dropout,0.4,42,0.01,0.006915208417922258,0.9861700180179881,52,3.513798542000586
fc_alpha0.010_seed42_20260507T175239,fc,learning_rate,0.0001,42,0.01,0.011431108228862286,0.9771385027004034,80,5.0527144170046085
fc_alpha0.010_seed42_20260507T175244,fc,learning_rate,0.001,42,0.01,0.0016496722819283605,0.996700759110651,74,4.6758850409969455
fc_alpha0.010_seed42_20260507T175246,fc,learning_rate,0.01,42,0.01,0.007576870732009411,0.9848467350440738,41,2.5817754580057226
rnn_alpha0.010_seed42_20260507T175257,rnn,hidden_size,64,42,0.01,0.00016859899915289134,0.9996628126077771,80,10.136539165992872
rnn_alpha0.010_seed42_20260507T175305,rnn,hidden_size,128,42,0.01,0.0002623753680381924,0.9994752657908975,57,8.14410725000198
rnn_alpha0.010_seed42_20260507T175316,rnn,hidden_size,256,42,0.01,0.00012689294817391783,0.9997462220838246,50,11.181452582997736
rnn_alpha0.010_seed42_20260507T175324,rnn,num_layers,1,42,0.01,0.0002623753680381924,0.9994752657908975,57,8.101255125002353
rnn_alpha0.010_seed42_20260507T175334,rnn,num_layers,2,42,0.01,0.00023064689594320953,0.9995387207123467,39,9.839441707998049
rnn_alpha0.010_seed42_20260507T175402,rnn,num_layers,3,42,0.01,1.7442380340071395e-05,0.9999651163371439,77,28.381437790987547
rnn_alpha0.010_seed42_20260507T175411,rnn,dropout,0.0,42,0.01,0.0002623753680381924,0.9994752657908975,57,8.115742499998305
rnn_alpha0.010_seed42_20260507T175419,rnn,dropout,0.2,42,0.01,0.0002623753680381924,0.9994752657908975,57,8.227244124995195
rnn_alpha0.010_seed42_20260507T175427,rnn,dropout,0.4,42,0.01,0.0002623753680381924,0.9994752657908975,57,8.472492458007764
rnn_alpha0.010_seed42_20260507T175439,rnn,learning_rate,0.0001,42,0.01,0.038153015077114105,0.9236963691180805,80,11.813403291002032
rnn_alpha0.010_seed42_20260507T175448,rnn,learning_rate,0.001,42,0.01,0.0002623753680381924,0.9994752657908975,57,9.138306791996001
rnn_alpha0.010_seed42_20260507T175453,rnn,learning_rate,0.01,42,0.01,0.00011962735879933462,0.9997607528101442,31,4.494639083000948
lstm_alpha0.010_seed42_20260507T175509,lstm,hidden_size,64,42,0.01,7.283178274519742e-05,0.9998543410089348,64,15.748732416002895
lstm_alpha0.010_seed42_20260507T175531,lstm,hidden_size,128,42,0.01,5.7669425586936995e-05,0.9998846647767308,60,22.021895292011322
lstm_alpha0.010_seed42_20260507T175610,lstm,hidden_size,256,42,0.01,2.5903931600623764e-05,0.999948193766543,61,39.35014962499554
lstm_alpha0.010_seed42_20260507T175632,lstm,num_layers,1,42,0.01,5.7669425586936995e-05,0.9998846647767308,60,21.8729336670076
lstm_alpha0.010_seed42_20260507T175718,lstm,num_layers,2,42,0.01,6.705497798975557e-05,0.9998658942669311,60,45.89442237500043
lstm_alpha0.010_seed42_20260507T175834,lstm,num_layers,3,42,0.01,6.843999290140346e-05,0.9998631243235343,64,75.9987509999919
lstm_alpha0.010_seed42_20260507T175857,lstm,dropout,0.0,42,0.01,5.7669425586936995e-05,0.9998846647767308,60,22.68000745799509
lstm_alpha0.010_seed42_20260507T175919,lstm,dropout,0.2,42,0.01,5.7669425586936995e-05,0.9998846647767308,60,22.016409624993685
lstm_alpha0.010_seed42_20260507T175941,lstm,dropout,0.4,42,0.01,5.7669425586936995e-05,0.9998846647767308,60,22.34565499999735
lstm_alpha0.010_seed42_20260507T180012,lstm,learning_rate,0.0001,42,0.01,0.00042322586523368955,0.9991535748567647,80,30.33630974999687
lstm_alpha0.010_seed42_20260507T180033,lstm,learning_rate,0.001,42,0.01,5.7669425586936995e-05,0.9998846647767308,60,21.80332962500688
lstm_alpha0.010_seed42_20260507T180041,lstm,learning_rate,0.01,42,0.01,6.994067371124402e-05,0.9998601230498645,20,7.334760792000452
